row;col;r;c;value;status;ref
"Ciutat Vella";"(1) Población";1;1;108310;;2024
"Ciutat Vella";"Población extranjera / total";1;2;56901;;2024
"Ciutat Vella";"Población extranjera / % vert.";1;3;13,74;;2024
"Ciutat Vella";"Población extranjera / % sobre (1)";1;4;52,54;;2024
Eixample;"(1) Población";2;1;271223;;2024
Eixample;"Población extranjera / total";2;2;75395;;2024
Eixample;"Población extranjera / % vert.";2;3;18,21;;2024
Eixample;"Población extranjera / % sobre (1)";2;4;27,8;;2024
Sants-Montjuïc;"(1) Población";3;1;189722;;2024
Sants-Montjuïc;"Población extranjera / total";3;2;49715;;2024
Sants-Montjuïc;"Población extranjera / % vert.";3;3;12,01;;2024
Sants-Montjuïc;"Población extranjera / % sobre (1)";3;4;26,2;;2024
"Les Corts";"(1) Población";4;1;82927;;2024
"Les Corts";"Población extranjera / total";4;2;14439;;2024
"Les Corts";"Población extranjera / % vert.";4;3;3,49;;2024
"Les Corts";"Población extranjera / % sobre (1)";4;4;17,41;;2024
"Sarrià-Sant Gervasi";"(1) Población";5;1;150377;;2024
"Sarrià-Sant Gervasi";"Población extranjera / total";5;2;25729;;2024
"Sarrià-Sant Gervasi";"Población extranjera / % vert.";5;3;6,21;;2024
"Sarrià-Sant Gervasi";"Población extranjera / % sobre (1)";5;4;17,11;;2024
Gràcia;"(1) Población";6;1;124460;;2024
Gràcia;"Población extranjera / total";6;2;28911;;2024
Gràcia;"Población extranjera / % vert.";6;3;6,98;;2024
Gràcia;"Población extranjera / % sobre (1)";6;4;23,23;;2024
Horta-Guinardó;"(1) Población";7;1;178843;;2024
Horta-Guinardó;"Población extranjera / total";7;2;35601;;2024
Horta-Guinardó;"Población extranjera / % vert.";7;3;8,6;;2024
Horta-Guinardó;"Población extranjera / % sobre (1)";7;4;19,91;;2024
"Nou Barris";"(1) Población";8;1;178396;;2024
"Nou Barris";"Población extranjera / total";8;2;39989;;2024
"Nou Barris";"Población extranjera / % vert.";8;3;9,66;;2024
"Nou Barris";"Población extranjera / % sobre (1)";8;4;22,42;;2024
"Sant Andreu";"(1) Población";9;1;154566;;2024
"Sant Andreu";"Población extranjera / total";9;2;27304;;2024
"Sant Andreu";"Población extranjera / % vert.";9;3;6,59;;2024
"Sant Andreu";"Población extranjera / % sobre (1)";9;4;17,66;;2024
"Sant Martí";"(1) Población";10;1;247384;;2024
"Sant Martí";"Población extranjera / total";10;2;60079;;2024
"Sant Martí";"Población extranjera / % vert.";10;3;14,51;;2024
"Sant Martí";"Población extranjera / % sobre (1)";10;4;24,29;;2024
Total;"(1) Población";11;1;1686208;;2024
Total;"Población extranjera / total";11;2;414063;;2024
Total;"Población extranjera / % vert.";11;3;100;;2024
Total;"Población extranjera / % sobre (1)";11;4;24,56;;2024
